ANO;TITULO;AUTORES
2003;Realistic Computer Graphics Models For Simulation And Training Of Cirurgical Procedures;Peter Charters
2003;Reverse Engineering Of Distributed System Architecture - A Case Study;Nabor Das Chagas Mendonça
2003;Reverse Engineering Of Distributed System Architecture - A Case Study;Jeff Kramer
2003;Sobre A Utilização De Balança Analítica Para A Calibração De Ultra Som Terapeutico;Lutero Carmo De Lima
2003;Sobre A Utilização De Balança Analítica Para A Calibração De Ultra Som Terapeutico;Fabio L Mendonça Martins
2003;Sobre A Utilização De Balança Analítica Para A Calibração De Ultra Som Terapeutico;Debora Bevilaqua Grosso
2003;Sobre A Utilização De Balança Analítica Para A Calibração De Ultra Som Terapeutico;João Batista Furlan Duarte
2003;Um Ambiente Na Web De Construção De Tabela De Horário De Professores Aplicado Às Escolas De Ensino Médio Estadual;Plácido Rogerio Pinheiro
2003;Um Ambiente Na Web De Construção De Tabela De Horário De Professores Aplicado Às Escolas De Ensino Médio Estadual;José Auriço Oliveira
2004;A Proposal Of An Alternative Route For The Reduction Of Iron Ore In The Eastern Amazonia;Lutero Carmo De Lima
2004;A Proposal Of An Alternative Route For The Reduction Of Iron Ore In The Eastern Amazonia;João Batista Furlan Duarte
2004;A Proposal Of An Alternative Route For The Reduction Of Iron Ore In The Eastern Amazonia;T Nejat Veziroglu
2004;A Unified Architecture To Develop Interactive Knowledge Based Systems;Vládia Célia Monteiro Pinheiro
2004;A Unified Architecture To Develop Interactive Knowledge Based Systems;João José Vasco Peixoto Furtado
2004;A Unified Architecture To Develop Interactive Knowledge Based Systems;Elizabeth Furtado
2004;Assessing Agile Methods: An Empirical Study;Americo Tadeu Falcone Sampaio
2004;Assessing Agile Methods: An Empirical Study;Alexandre Marcos Lins De Vasconcelos
2004;Assessing Agile Methods: An Empirical Study;Pedro Rafael Falcone Sampaio
2004;Domestic Range Burner Design Procedure;Heraldo Da Silva Couto
2004;Domestic Range Burner Design Procedure;Lutero Carmo De Lima
2004;Domestic Range Burner Design Procedure;Demetrio Bastos Neto
2004;Domestic Range Burner Design Procedure;João Batista Furlan Duarte
2004;Otimização Do Processo De Fabricação Do Biscoito Tipo Cracker;Plácido Rogerio Pinheiro
2004;Otimização Do Processo De Fabricação Do Biscoito Tipo Cracker;Dorasilvia Pontes Lima
2004;Otimização Do Processo De Fabricação Do Biscoito Tipo Cracker;Micheline Elga Pessoa De Melo
2005;Análise De Tensões Em Discos De Turbina Do Tipo Tesla;Heraldo Da Silva Couto
2005;Análise De Tensões Em Discos De Turbina Do Tipo Tesla;Patrick Vieira Santrain
2005;Análise De Tensões Em Discos De Turbina Do Tipo Tesla;João Batista Furlan Duarte
2005;Enterprise-Oriented Software Development Environments To Support Software Products And Processes Quality Improvement;Mariano Montoni
2005;Enterprise-Oriented Software Development Environments To Support Software Products And Processes Quality Improvement;Gleison
2005;Enterprise-Oriented Software Development Environments To Support Software Products And Processes Quality Improvement;Karina Villela
2005;Enterprise-Oriented Software Development Environments To Support Software Products And Processes Quality Improvement;Ana Regina Rocha
2005;Enterprise-Oriented Software Development Environments To Support Software Products And Processes Quality Improvement;Guilherme Horta Travassos
2005;Enterprise-Oriented Software Development Environments To Support Software Products And Processes Quality Improvement;Savio Figueiredo
2005;Enterprise-Oriented Software Development Environments To Support Software Products And Processes Quality Improvement;Somulo Mafra
2005;Enterprise-Oriented Software Development Environments To Support Software Products And Processes Quality Improvement;Adriano Bessa Albuquerque
2005;Enterprise-Oriented Software Development Environments To Support Software Products And Processes Quality Improvement;Paula Mian
2005;Fatores De Sucesso E Dificuldades Na Implementação De Processos De Software Utilizando O Mr-Mps E O Cmmi;Ana Regina Rocha
2005;Fatores De Sucesso E Dificuldades Na Implementação De Processos De Software Utilizando O Mr-Mps E O Cmmi;Adriano Bessa Albuquerque
2005;Fatores De Sucesso E Dificuldades Na Implementação De Processos De Software Utilizando O Mr-Mps E O Cmmi;Mariano Montoni
2005;Fatores De Sucesso E Dificuldades Na Implementação De Processos De Software Utilizando O Mr-Mps E O Cmmi;Gleison
2005;Fatores De Sucesso E Dificuldades Na Implementação De Processos De Software Utilizando O Mr-Mps E O Cmmi;Kathia Oliveira
2005;Fatores De Sucesso E Dificuldades Na Implementação De Processos De Software Utilizando O Mr-Mps E O Cmmi;Ana Candida Natali
2005;Fatores De Sucesso E Dificuldades Na Implementação De Processos De Software Utilizando O Mr-Mps E O Cmmi;Paula Mian
2005;Fatores De Sucesso E Dificuldades Na Implementação De Processos De Software Utilizando O Mr-Mps E O Cmmi;Tayana Conte
2005;Fatores De Sucesso E Dificuldades Na Implementação De Processos De Software Utilizando O Mr-Mps E O Cmmi;Somulo Mafra
2005;Fatores De Sucesso E Dificuldades Na Implementação De Processos De Software Utilizando O Mr-Mps E O Cmmi;Andrea Barreto
2005;Knowledge Management In A Software Development Environment To Support Software Process Deployment;Gleison
2005;Knowledge Management In A Software Development Environment To Support Software Process Deployment;Mariano Montoni
2005;Knowledge Management In A Software Development Environment To Support Software Process Deployment;Ana Regina Rocha
2005;Knowledge Management In A Software Development Environment To Support Software Process Deployment;Somulo Mafra
2005;Knowledge Management In A Software Development Environment To Support Software Process Deployment;Savio Figueiredo
2005;Knowledge Management In A Software Development Environment To Support Software Process Deployment;Adriano Bessa Albuquerque
2005;Knowledge Management In A Software Development Environment To Support Software Process Deployment;Benito Paret
2005;Knowledge Management In A Software Development Environment To Support Software Process Deployment;Marcio Amaral
2005;Mechanical Evalution Of A Respiratory Device;Lutero Carmo De Lima
2005;Mechanical Evalution Of A Respiratory Device;João Batista Furlan Duarte
2005;Mechanical Evalution Of A Respiratory Device;F P Lépore Neto
2005;Mechanical Evalution Of A Respiratory Device;Paulo Toshio Abe
2005;Mechanical Evalution Of A Respiratory Device;A C Gastaldi
2005;Reference Model For Software Process Improvement: A Brazilian Experience;Ana Regina Rocha
2005;Reference Model For Software Process Improvement: A Brazilian Experience;Mariano Montoni
2005;Reference Model For Software Process Improvement: A Brazilian Experience;Gleison
2005;Reference Model For Software Process Improvement: A Brazilian Experience;Somulo Mafra
2005;Reference Model For Software Process Improvement: A Brazilian Experience;Savio Figueiredo
2005;Reference Model For Software Process Improvement: A Brazilian Experience;Adriano Bessa Albuquerque
2005;Reference Model For Software Process Improvement: A Brazilian Experience;Paula Mian
2005;Um Sistema De Suporte A Decisão Aplicado A Construção De Barragens De Terra;Plácido Rogerio Pinheiro
2005;Um Sistema De Suporte A Decisão Aplicado A Construção De Barragens De Terra;Moisés Ângelo De Moura Reis Filho
2005;Um Sistema De Suporte A Decisão Aplicado A Construção De Barragens De Terra;Francisco Das Chagas Da Silva Filho
2005;Um Sistema De Suporte A Decisão Aplicado A Construção De Barragens De Terra;Luiz Flávio Autran Monteiro Gomes
2005;Uma Aplicação Da Pesquisa Operacional Na Industria De Alimentos: Interação Universidade Empresa;Plácido Rogerio Pinheiro
2005;Uma Aplicação Da Pesquisa Operacional Na Industria De Alimentos: Interação Universidade Empresa;José Alzir Bruno Falcão
2006;A Multi-Agent Simulator For Teaching Police Allocation;Joao Jose Vasco Peixoto Furtado
2006;A Multi-Agent Simulator For Teaching Police Allocation;José Eurico Filho
2006;A Unified Model For Service- And Aspect-Oriented Software Development;Nabor Das Chagas Mendonça
2006;A Unified Model For Service- And Aspect-Oriented Software Development;Clayton Ferreira Da Silva
2006;Broadband Network Traffic Characterization And Classification Using A Multivariate Statistical Method;Raimir Holanda Filho
2006;Broadband Network Traffic Characterization And Classification Using A Multivariate Statistical Method;Jose Everardo Bessa Maia
2006;Broadband Network Traffic Characterization And Classification Using A Multivariate Statistical Method;Gabriel Paulino
2006;Desenvolvimento De Aplicações 3D Para Dispositivos Móveis Utilizando As Apis M3G E Opengl Es;Maria Andréia Formico Rodrigues
2006;Desenvolvimento De Aplicações 3D Para Dispositivos Móveis Utilizando As Apis M3G E Opengl Es;Rafael Garcia Barbosa
2006;Desenvolvimento De Aplicações 3D Para Dispositivos Móveis Utilizando As Apis M3G E Opengl Es;Wendel B Silva
2006;Deteccao De Colisao Broad Phase Utilizando Grids Para Ambientes Interativos;Rafael De Sousa Rocha
2006;Deteccao De Colisao Broad Phase Utilizando Grids Para Ambientes Interativos;Maria Andréia Formico Rodrigues
2006;Guest Editorial: Selected Papers From The 18Th Brazilian Symposium On Computer Graphics And Image Processing (Sibgrapi´2005);Maria Andréia Formico Rodrigues
2006;Integrando Padrões De Usabilidade Na Especificação De Requisitos Para Apoiar O Re -Projeto Participativo De Interfaces;Felipe Távora Pereira
2006;Integrando Padrões De Usabilidade Na Especificação De Requisitos Para Apoiar O Re -Projeto Participativo De Interfaces;Maria Elizabeth Sucupira Furtado
2006;Promoting Performance And Separation Of Concerns For Data Mining Applications On The Grid;Joao Jose Vasco Peixoto Furtado
2006;Promoting Performance And Separation Of Concerns For Data Mining Applications On The Grid;Francisco Flávio De Sousa
2006;Promoting Performance And Separation Of Concerns For Data Mining Applications On The Grid;Walfredo Cirne
2007;A Multiagent Approach For Configuring And Explaining Workflow Of Semantic Web Services;Joao Jose Vasco Peixoto Furtado
2007;A Multiagent Approach For Configuring And Explaining Workflow Of Semantic Web Services;Leonardo Ayres
2007;A Multiagent Approach For Configuring And Explaining Workflow Of Semantic Web Services;Gustavo Fernades
2007;An Interactive Simulation System For Training And Treatment Planning In Orthodontics;Maria Andréia Formico Rodrigues
2007;An Interactive Simulation System For Training And Treatment Planning In Orthodontics;Wendel B Silva
2007;An Interactive Simulation System For Training And Treatment Planning In Orthodontics;M E Barbosa Neto
2007;An Interactive Simulation System For Training And Treatment Planning In Orthodontics;D F Gillies
2007;An Interactive Simulation System For Training And Treatment Planning In Orthodontics;Isabel M M P Ribeiro
2007;Análise De Desempenho De Algoritmos De Colisão Broad E Narrow Phases Em Ambientes Gráficos Interativos;Rafael De Sousa Rocha
2007;Análise De Desempenho De Algoritmos De Colisão Broad E Narrow Phases Em Ambientes Gráficos Interativos;Maria Andréia Formico Rodrigues
2007;Applying A Decision Making Model In The Early Diagnosis Of Alzheimer´S Disease;Ana Karolina Araújo De Castro
2007;Applying A Decision Making Model In The Early Diagnosis Of Alzheimer´S Disease;Plácido Rogerio Pinheiro
2007;Applying A Decision Making Model In The Early Diagnosis Of Alzheimer´S Disease;Mirian Caliope Dantas Pinheiro
2007;Detecting Computer Network Attacks Using Statistical Discriminators And Cluster Analysis;Raimir Holanda Filho
2007;Detecting Computer Network Attacks Using Statistical Discriminators And Cluster Analysis;Jose Everardo Bessa Maia
2007;Detecting Computer Network Attacks Using Statistical Discriminators And Cluster Analysis;Marcus F Fontenelle Do Carmo
2007;Ea-Miner: Towards Automation In Aspect-Oriented Requirements Engineering;Americo Tadeu Falcone Sampaio
2007;Ea-Miner: Towards Automation In Aspect-Oriented Requirements Engineering;Awais Rashid
2007;Ea-Miner: Towards Automation In Aspect-Oriented Requirements Engineering;Ruzanna Chitchyan
2007;Ea-Miner: Towards Automation In Aspect-Oriented Requirements Engineering;Paul Rayson
2007;Geosimulation In Education: A System For Teaching Police Resource Allocation;Joao Jose Vasco Peixoto Furtado
2007;Geosimulation In Education: A System For Teaching Police Resource Allocation;José Eurico Filho
2007;Hybridizing Mixtures Of Experts With Support Vector Machines: Investigation Into Nonlinear Dynamic Systems Identification;Clodoaldo Ap Moraes De Lima
2007;Hybridizing Mixtures Of Experts With Support Vector Machines: Investigation Into Nonlinear Dynamic Systems Identification;André Luís Vasconcelos Coelho
2007;Hybridizing Mixtures Of Experts With Support Vector Machines: Investigation Into Nonlinear Dynamic Systems Identification;Fernando Von Zuben
2007;Robótica Aplicada Ao Combate De Incidentes;Antônio Roberto Menescal De Macedo
2007;Robótica Aplicada Ao Combate De Incidentes;Antônio Roberto Lins De Macedo
2007;Robótica Aplicada Ao Combate De Incidentes;João Batista Furlan Duarte
2007;Sistema De Segmentação De Imagens Para Quantificação De Microestruturas Em Metais Utilizando Redes Neurais Artificiais;Victor Hugo Costa De Albuquerque
2007;Sistema De Segmentação De Imagens Para Quantificação De Microestruturas Em Metais Utilizando Redes Neurais Artificiais;Paulo César Cortez
2007;Sistema De Segmentação De Imagens Para Quantificação De Microestruturas Em Metais Utilizando Redes Neurais Artificiais;A R Alexandria
2007;Sistema De Segmentação De Imagens Para Quantificação De Microestruturas Em Metais Utilizando Redes Neurais Artificiais;W M Aguiar
2007;Sistema De Segmentação De Imagens Para Quantificação De Microestruturas Em Metais Utilizando Redes Neurais Artificiais;E M Silva
2007;Smart Proxies For Accessing Replicated Web Services;José Geraldo Ribeiro Junior
2007;Smart Proxies For Accessing Replicated Web Services;Glauber Tadeu Do Carmo
2007;Smart Proxies For Accessing Replicated Web Services;Marco Tulio Oliveira Valente
2007;Smart Proxies For Accessing Replicated Web Services;Nabor Das Chagas Mendonça
2007;Tackling The Container Loading Problem: A Hybrid Approach Based On Integer Linear Programming And Genetic Algorithms;Napoleão Vieira Nepomuceno
2007;Tackling The Container Loading Problem: A Hybrid Approach Based On Integer Linear Programming And Genetic Algorithms;Plácido Rogerio Pinheiro
2007;Tackling The Container Loading Problem: A Hybrid Approach Based On Integer Linear Programming And Genetic Algorithms;Andre Luiz Vasconcelos Coelho
2008;A Co-Evolutionary Interaction Design Of Digital Tv Applications Based On Verbal Decision Analysis Of User Experiences;Marilia Mendes
2008;A Co-Evolutionary Interaction Design Of Digital Tv Applications Based On Verbal Decision Analysis Of User Experiences;Ana Lisse Cavalcante
2008;A Co-Evolutionary Interaction Design Of Digital Tv Applications Based On Verbal Decision Analysis Of User Experiences;Elizabeth Furtado
2008;A Co-Evolutionary Interaction Design Of Digital Tv Applications Based On Verbal Decision Analysis Of User Experiences;Plácido Rogerio Pinheiro
2008;A Estruturação Do Modelo Multicritério Para Produção De Jornal;Plácido Rogerio Pinheiro
2008;A Estruturação Do Modelo Multicritério Para Produção De Jornal;Gilberto George Conrado De Souza
2008;A Estruturação Do Modelo Multicritério Para Produção De Jornal;Ana Karoline Araújo De Castro
2008;A Hybrid Model For Aiding In Decision Making For The Neuropsychological Diagnosis Of Alzheimer'S Disease;Ana Karolina Araújo De Castro
2008;A Hybrid Model For Aiding In Decision Making For The Neuropsychological Diagnosis Of Alzheimer'S Disease;Plácido Rogerio Pinheiro
2008;A Hybrid Model For Aiding In Decision Making For The Neuropsychological Diagnosis Of Alzheimer'S Disease;Mirian Caliope Dantas Pinheiro
2008;A Loosely Coupled Aspect Language For Soa Applications;Nabor Das Chagas Mendonça
2008;A Loosely Coupled Aspect Language For Soa Applications;Clayton Ferreira Da Silva
2008;A Loosely Coupled Aspect Language For Soa Applications;Ian Guedes Maia
2008;A Loosely Coupled Aspect Language For Soa Applications;Maria Andréia Formico Rodrigues
2008;A Loosely Coupled Aspect Language For Soa Applications;Marco Tulio Oliveira Valente
2008;A Loosely Coupled Aspect Language For Soa Applications;N C Mendonça
2008;A Loosely Coupled Aspect Language For Soa Applications;C F Silva
2008;A Loosely Coupled Aspect Language For Soa Applications;Ian Guedes Maia
2008;A Loosely Coupled Aspect Language For Soa Applications;Maria Andréia Formico Rodrigues
2008;A Loosely Coupled Aspect Language For Soa Applications;Marco Tulio Oliveira Valente
2008;A Multi-Disciplinary Strategy For Identifying Affective Usability Aspects In Educational Geosimulation Systems;Maria Elizabeth Sucupira Furtado
2008;A Multi-Disciplinary Strategy For Identifying Affective Usability Aspects In Educational Geosimulation Systems;Joao Jose Vasco Peixoto Furtado
2008;A Multicriteria Model Applied In The Diagnosis Of Alzheimer's Disease;Ana Karolina Araújo De Castro
2008;A Multicriteria Model Applied In The Diagnosis Of Alzheimer's Disease;Plácido Rogerio Pinheiro
2008;A Multicriteria Model Applied In The Diagnosis Of Alzheimer's Disease;Mirian Caliope Dantas Pinheiro
2008;A New Solution For Automatic Microstructures Analysis From Images Based On A Backpropagation Artificial Neural Network;Victor Hugo Costa De Albuquerque
2008;A New Solution For Automatic Microstructures Analysis From Images Based On A Backpropagation Artificial Neural Network;Paulo César Cortez
2008;A New Solution For Automatic Microstructures Analysis From Images Based On A Backpropagation Artificial Neural Network;A R Alexandria
2008;A New Solution For Automatic Microstructures Analysis From Images Based On A Backpropagation Artificial Neural Network;J M R S Tavares
2008;A Novel Optimization In Guillotine Cut Applied Reel Of Steel;Plácido Rogerio Pinheiro
2008;A Novel Optimization In Guillotine Cut Applied Reel Of Steel;José Aélio Silveira Junior
2008;A Novel Optimization In Guillotine Cut Applied Reel Of Steel;João Batista Duarte Furlan
2008;A Novel Optimization In Guillotine Cut Applied Reel Of Steel;Antonio Clécio Fontelles Thomaz
2008;A Novel Optimization In Guillotine Cut Applied Reel Of Steel;Ricardo Luiz Costa Holanda Filho
2008;Blending Scrum Practices And Cmmi Project Management Process Areas;Ana Sofia C Marçal
2008;Blending Scrum Practices And Cmmi Project Management Process Areas;Bruno Celso C De Freitas
2008;Blending Scrum Practices And Cmmi Project Management Process Areas;Maria Elizabeth Sucupira Furtado
2008;Blending Scrum Practices And Cmmi Project Management Process Areas;Felipe S Furtado Soares
2008;Blending Scrum Practices And Cmmi Project Management Process Areas;Arnaldo Dias Belchior
2008;Blending Scrum Practices And Cmmi Project Management Process Areas;Teresa Maria M Maciel
2008;Challenging The Incomparability Problem: An Approach Methodology Based On Zapros;Isabelle Tamanini
2008;Challenging The Incomparability Problem: An Approach Methodology Based On Zapros;Plácido Rogerio Pinheiro
2008;Client-Side Selection Of Replicated Web Services: An Empirical Assessment;Nabor Das Chagas Mendonça
2008;Client-Side Selection Of Replicated Web Services: An Empirical Assessment;José Airton Fernandes Da Silva
2008;Client-Side Selection Of Replicated Web Services: An Empirical Assessment;Ricardo De Oliveira Anido
2008;Desenvolvimento De Projetos De Aprendizagem Através Da Construção Colaborativa De Storyboards Pelos Aprendizaes;Rejane Pinheiro
2008;Desenvolvimento De Projetos De Aprendizagem Através Da Construção Colaborativa De Storyboards Pelos Aprendizaes;Maria Elizabeth Sucupira Furtado
2008;Desenvolvimento De Projetos De Aprendizagem Através Da Construção Colaborativa De Storyboards Pelos Aprendizaes;Robson Loureiro
2008;Domínio Informática: A Qualidade Como Foco Do Seu Plano Estratégico;Ticiana Da Mota Gentil Parente
2008;Domínio Informática: A Qualidade Como Foco Do Seu Plano Estratégico;Adriano Bessa Albuquerque
2008;Implications Of The Socio-Physical Contexts When Interacting With Mobile Media;Anxo Cereijo Roibás
2008;Implications Of The Socio-Physical Contexts When Interacting With Mobile Media;David Geerts
2008;Implications Of The Socio-Physical Contexts When Interacting With Mobile Media;Maria Elizabeth Sucupira Furtado
2008;Implications Of The Socio-Physical Contexts When Interacting With Mobile Media;Licia Calvi
2008;Proposta De Priorização De Projetos E Demandas Por Recursos De Tecnologia Da Informação;Luciano Comin Nunes
2008;Proposta De Priorização De Projetos E Demandas Por Recursos De Tecnologia Da Informação;Plácido Rogerio Pinheiro
2008;Scalability Analysis Of A Novel Integer Programming Model To Deal With Energy Consumption In Heterogeneous Wireless Sensor Networks;Alexei Barbosa De Aguiar
2008;Scalability Analysis Of A Novel Integer Programming Model To Deal With Energy Consumption In Heterogeneous Wireless Sensor Networks;Plácido Rogerio Pinheiro
2008;Scalability Analysis Of A Novel Integer Programming Model To Deal With Energy Consumption In Heterogeneous Wireless Sensor Networks;Andre Luiz Vasconcelos Coelho
2008;Scalability Analysis Of A Novel Integer Programming Model To Deal With Energy Consumption In Heterogeneous Wireless Sensor Networks;Napoleão Vieira Nepomuceno
2008;Scalability Analysis Of A Novel Integer Programming Model To Deal With Energy Consumption In Heterogeneous Wireless Sensor Networks;Alvaro De Meneses Sobreira Neto
2008;Scalability Analysis Of A Novel Integer Programming Model To Deal With Energy Consumption In Heterogeneous Wireless Sensor Networks;Ruddy P P Cunha
2008;Um Ambiente Adaptativo Multiagente Com Base Em Uma Abordagem Socio-Construtivista Utilizando Objetos De Aprendizagem;Rejane Pinheiro
2008;Um Ambiente Adaptativo Multiagente Com Base Em Uma Abordagem Socio-Construtivista Utilizando Objetos De Aprendizagem;Maria Elizabeth Sucupira Furtado
2008;Um Ambiente Adaptativo Multiagente Com Base Em Uma Abordagem Socio-Construtivista Utilizando Objetos De Aprendizagem;Robson Loureiro
2008;Uma Abordagem Evolucionária Para A Formação De Mapas Topológicos Auto-Organizáveis;José Everardo Bessa Maia
